Ingredient,SMILES
neoxanthin,CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C
eschsoltzaxanthone,
phenols,
betuligneol,
benzenoid,
rhododendrol,CC(CCC1=CC=C(C=C1)O)O
20-hydroxy ecdysterone,
7-methoxy-5-methyl-3-phenyl-chromen-4-one,CC1=CC(=CC2=C1C(=O)C(=CO2)C3=CC=CC=C3)OC
4-hydroxy-3-methyoxycinnamic acid,
proprietary synergistic blend,
senna,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O
cape aloe,
vegetable charcoal,
fennel,
alcohol free concentrated extract of,
turmeric rhizome,
ch. skullcap root,
schizandra berry,
licorice,
validated full spectrum profile,
silymarins,
passionflower leaf,
cod liver oil,
molybdenum,[Mo]
choline,C[N+](C)(C)CCO
pantethine,CC(C)(CO)C(C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(C(C)(C)CO)O)O
cocarboxylase,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O.[Cl-]
pyridoxal 5-phosphate,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
riboflavin 5-phosphate,
boron glycinate,[B]OC(=O)CN
eleuthero extract,
standardized american ginseng extract,
standardized korean ginseng extract,
saw palmetto extract,
stinging nettles extract,
pygeum extract,
standardized soy isoflavone extract,
carotenoid mix,
l-aspartate,C(C(C(=O)O)N)C(=O)O
leci-ps(r) soybean extract,
yielding 40% phosphatidylserine,
phosphatidylethanolamine,CC(=O)OCC(COP(=O)(O)OCCN)OC(=O)C
grape seed extract,
huperzine a,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3
reduced beta-nicotinamide adenine dinucleotide-coenzyme vitamin b-3,
